method,drug_pairs,min_size,max_size,common_ratio,SR_subgraph1,SR_subgraph2,walk_length,cos_sim,rank,num_nodes,prop,rank_ex,num_nodes_ex,SR_walks
deepwalk,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,10,-0.04915982857346535,29,40,0.725,2,3,0.5158
deepwalk,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,20,-0.04919159784913063,48,74,0.6486,2,3,0.4821
deepwalk,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,40,0.11235997080802917,41,117,0.3504,4,5,0.4734
deepwalk,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,60,0.2328837513923645,86,167,0.515,3,9,0.5218
deepwalk,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,80,0.575043261051178,115,194,0.5928,7,10,0.5214
node2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,10,-0.04968183860182762,31,44,0.7045,2,3,0.5158
node2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,20,-0.04287728667259216,56,83,0.6747,3,4,0.4769
node2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,40,0.11846563220024109,48,121,0.3967,2,4,0.4506
node2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,60,0.11605270206928253,73,164,0.4451,4,7,0.5311
node2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,80,0.7750627994537354,42,190,0.2211,3,6,0.5145
metapath2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,10,-0.0497942678630352,1,1,1.0,1,1,1.0
metapath2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,20,-0.0497942678630352,1,1,1.0,1,1,1.0
metapath2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,40,-0.0497942678630352,1,1,1.0,1,1,1.0
metapath2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,60,-0.0497942678630352,1,1,1.0,1,1,1.0
metapath2vec,"['canagliflozin', 'dapagliflozin']",35,607,0.0467,0.4737,0.3055,80,-0.0497942678630352,1,1,1.0,1,1,1.0
deepwalk,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,10,-0.011024147272109985,32,54,0.5926,1,2,0.5105
deepwalk,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,20,-0.00394739955663681,53,103,0.5146,9,18,0.4769
deepwalk,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,40,0.025135092437267303,108,174,0.6207,12,19,0.4481
deepwalk,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,60,0.05110090970993042,108,249,0.4337,7,14,0.4328
deepwalk,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,80,0.4094593822956085,9,303,0.0297,1,21,0.4736
node2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,10,-0.010261103510856628,31,58,0.5345,7,11,0.5
node2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,20,-0.006795927882194519,50,102,0.4902,10,16,0.4821
node2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,40,0.040361352264881134,91,176,0.517,18,25,0.4975
node2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,60,0.13610979914665222,48,244,0.1967,10,33,0.4639
node2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,80,0.31276336312294006,16,323,0.0495,2,28,0.4459
metapath2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,10,-0.01176607608795166,1,1,1.0,1,1,1.0
metapath2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,20,-0.01176607608795166,1,1,1.0,1,1,1.0
metapath2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,40,-0.01176607608795166,1,1,1.0,1,1,1.0
metapath2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,60,-0.01176607608795166,1,1,1.0,1,1,1.0
metapath2vec,"['dexamethasone', 'betamethasone']",680,710,0.2086,0.3363,0.3739,80,-0.01176607608795166,1,1,1.0,1,1,1.0
deepwalk,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,10,-0.037411607801914215,40,54,0.7407,2,2,0.3158
deepwalk,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,20,-0.014910563826560974,63,96,0.6562,5,5,0.3308
